"diagnosis_penyakit","l","p","total","pasien_perhari","status"
"2,9      (S63.7) Sprain and strain of other and
98       unspecified parts of hand","2","0","2","0.0022727272727273","0"
"2,9      (R06.3) Periodic breathing 99","1","1","2","0.0022727272727273","0"
"3,0      (T30.6) Corrosion of second degree, 00       body region unspecified","1","1","2","0.0022727272727273","0"
"3,0      (S69.7) Multiple injuries of wrist and 01       hand","1","1","2","0.0022727272727273","0"
"3,0      (S72.8) Fractures of other parts of femur 02","0","2","2","0.0022727272727273","0"
"3,0      (Q53.2) Undescended testicle, bilateral 03","2","0","2","0.0022727272727273","0"
"3,0      (Q21.2) Atrioventricular septal defect 04","1","1","2","0.0022727272727273","0"
"3,0      (T21.3) Burn of third degree of trunk 05","1","1","2","0.0022727272727273","0"
"3,0      (R40.2) Coma, unspecified 06","0","2","2","0.0022727272727273","0"
"3,0      (T79.4) Traumatic shock 07","1","1","2","0.0022727272727273","0"
"3,0      (N64.3) Galactorrhoea not associated 08       with childbirth","0","2","2","0.0022727272727273","0"
"3,0      (R41.3) Other amnesia 09","1","1","2","0.0022727272727273","0"
"3,0      (S22.9) Fracture of bony thorax, part
10       unspecified","0","2","2","0.0022727272727273","0"
"3,0      (N87.0) Mild cervical dysplasia 11","2","0","2","0.0022727272727273","0"
"3,0      (S06.80) Other intracranial injuries,
12       without open intracranial wound","2","0","2","0.0022727272727273","0"
"3,0      (S11.9) Open wound of neck, part
13       unspecified","1","1","2","0.0022727272727273","0"
"3,0      (Q65.0) Congenital dislocation of hip,
14       unilateral","0","2","2","0.0022727272727273","0"
"3,0      (M79.40) Hypertrophy of (infrapatellar)
15       fat pad, multiple sites","0","2","2","0.0022727272727273","0"
"3,0      (N41.0) Acute prostatitis 16","2","0","2","0.0022727272727273","0"
"3,0      (O68.9) Labour and delivery complicated
17       by fetal stress, unspecified","0","2","2","0.0022727272727273","0"
"3,0      (N05.9) Unspecified nephritic syndrome,
18       unspecified","1","1","2","0.0022727272727273","0"
"3,0      (O86.8) Other specified puerperal
19       infections","0","2","2","0.0022727272727273","0"
"3,0      (P22.8) Other respiratory distress of
20       newborn","2","0","2","0.0022727272727273","0"
"3,0      (P92.5) Neonatal difficulty in feeding at
21       breast","1","1","2","0.0022727272727273","0"
"3,0      (O75.9) Complication of labour and
22       delivery, unspecified","0","2","2","0.0022727272727273","0"
"3,0      (M79.43) Hypertrophy of (infrapatellar)
23       fat pad, forearm","1","1","2","0.0022727272727273","0"
"3,0      (M45.6) Ankylosing spondylitis, lumbar
24       region","0","2","2","0.0022727272727273","0"
"3,0      (M54.35) Sciatica, thoracolumbar region 25","2","0","2","0.0022727272727273","0"
"3,0      (M54.20) Cervicalgia, multiple sites 26","0","2","2","0.0022727272727273","0"
"3,0      (M62.92) Disorder of muscle,
27       unspecified, upper arm","0","2","2","0.0022727272727273","0"
"3,0      (M43.16) Spondylolisthesis, lumbar
28       region","1","1","2","0.0022727272727273","0"
"3,0      (M70.11) Bursitis of hand, shoulder
29       region","0","2","2","0.0022727272727273","0"
"3,0      (M12.46) Intermittent hydrarthrosis,
30       lower leg","1","1","2","0.0022727272727273","0"
"3,0      (E05.1) Thyrotoxicosis with toxic single
31       thyroid nodule","0","2","2","0.0022727272727273","0"
"3,0      (G91.2) Normal-pressure hydrocephalus 32","2","0","2","0.0022727272727273","0"
"3,0      (C44.8) Malignant neoplasm overlapping
33       skin site","0","2","2","0.0022727272727273","0"
"3,0      (B95.3) Streptococcus pneumoniae as
34       the cause of diseases classified to other","0","2","2","0.0022727272727273","0"
"3,0      (A31.9) Mycobacterial infection,
35       unspecified","1","1","2","0.0022727272727273","0"
"3,0      (D64.1) Secondary sideroblastic
36       anaemia due to disease","0","2","2","0.0022727272727273","0"
"3,0      (G96.9) Disorder of central nervous
37       system, unspecified","0","2","2","0.0022727272727273","0"
"3,0      (B01.1) Varicella encephalitis 38","1","1","2","0.0022727272727273","0"
"3,0      (H02.1) Ectropion of eyelid 39","2","0","2","0.0022727272727273","0"
"3,0      (D59.1) Other autoimmune haemolytic
40       anaemias","0","2","2","0.0022727272727273","0"
"3,0      (D30.0) Benign neoplasm of kidney 41","0","2","2","0.0022727272727273","0"
"3,0      (Z90.1) Acquired absence of breast(s) 42","0","2","2","0.0022727272727273","0"
"3,0      (Z89.0) Acquired absence of finger(s)
43       [including thumb], unilateral","2","0","2","0.0022727272727273","0"
"3,0      (Z88.0) Personal history of allergy to
44       penicillin","1","1","2","0.0022727272727273","0"
"3,0      (Z96.3) Presence of artificial larynx 45","2","0","2","0.0022727272727273","0"
"3,0      (W12) Fall on and from scaffolding
46       causing accidental injury","2","0","2","0.0022727272727273","0"
"3,0      (T61.8) Toxic effect of other seafoods 47","1","1","2","0.0022727272727273","0"
"3,0      (T01.0) Open wounds involving head
48       with neck","2","0","2","0.0022727272727273","0"
"3,0      (S86.2) Injury of muscle(s) and tendon
49       (s) of anterior muscle group at lower leg","0","2","2","0.0022727272727273","0"
"3,0      (R20.3) Hyperaesthesia
50","0","2","2","0.0022727272727273","0"
"3,0      (S82.10) Fracture of upper end of tibia,
51       closed","0","2","2","0.0022727272727273","0"
"3,0      (S83.3) Tear of articular cartilage of
52       knee, current","1","1","2","0.0022727272727273","0"
"3,0      (R74.8) Abnormal levels of other serum
53       enzymes","1","1","2","0.0022727272727273","0"
"3,0      (S23.0) Traumatic rupture of thoracic
54       intervertebral disc","2","0","2","0.0022727272727273","0"
"3,0      (S41.7) Multiple open wounds of
55       shoulder and upper arm","2","0","2","0.0022727272727273","0"
"3,0      (S05.3) Ocular laceration without
56       prolapse or loss of intraocular tissue","2","0","2","0.0022727272727273","0"
"3,0      (N46) Male infertility 57","2","0","2","0.0022727272727273","0"
"3,0      (S43.1) Dislocation of acromioclavicular
58       joint","2","0","2","0.0022727272727273","0"
"3,0      (O22.1) Genital varices in pregnancy 59","0","2","2","0.0022727272727273","0"
"3,0      (S32.20) Fracture of coccyx, closed 60","0","2","2","0.0022727272727273","0"
"3,0      (S06.1) Traumatic cerebral oedema 61","2","0","2","0.0022727272727273","0"
"3,0      (N94.5) Secondary dysmenorrhoea 62","0","2","2","0.0022727272727273","0"
"3,0      (R44.3) Hallucinations, unspecified 63","0","2","2","0.0022727272727273","0"
"3,0      (O99.1) Other diseases of the blood and
64       blood-forming organs and certain","0","2","2","0.0022727272727273","0"
"3,0      (N91.3) Primary oligomenorrhoea 65","0","2","2","0.0022727272727273","0"
"3,0      (N48.4) Impotence of organic origin 66","2","0","2","0.0022727272727273","0"
"3,0      (S31.4) Open wound of vagina and vulva 67","0","2","2","0.0022727272727273","0"
"3,0      (N04.3) Nephrotic syndrome, diffuse
68       mesangial proliferative","2","0","2","0.0022727272727273","0"
"3,0      (M80.81) Other osteoporosis with
69       pathological fracture, shoulder region","0","2","2","0.0022727272727273","0"
"3,0      (M84.06) Malunion of fracture, lower leg 70","2","0","2","0.0022727272727273","0"
"3,0      (P92.3) Underfeeding of newborn 71","2","0","2","0.0022727272727273","0"
"3,0      (P39.1) Neonatal conjunctivitis and
72       dacryocystitis","1","1","2","0.0022727272727273","0"
"3,0      (M48.44) Fatigue fracture of vertebra,
73       thoracic region","1","1","2","0.0022727272727273","0"
"3,0      (M90.81) Osteopathy in other diseases
74       classified elsewhere, shoulder region","0","2","2","0.0022727272727273","0"
"3,0      (M65.07) Abscess of tendon sheath,
75       ankle and foot","2","0","2","0.0022727272727273","0"
"3,0      (M72.64) Necrotizing fasciitis, hand 76","1","1","2","0.0022727272727273","0"
"3,0      (M10.92) Gout, unspecified, upper arm 77","2","0","2","0.0022727272727273","0"
"3,0      (M62.45) Contracture of muscle, pelvic
78       region and thigh","1","1","2","0.0022727272727273","0"
"3,0      (M05.9) Seropositive rheumatoid
79       arthritis, unspecified","0","2","2","0.0022727272727273","0"
"3,0      (M21.67) Other acquired deformities of
80       ankle and foot, ankle and foot","2","0","2","0.0022727272727273","0"
"3,0      (M00.87) Arthritis and polyarthritis due
81       other specified bacterial agents, ankle","1","1","2","0.0022727272727273","0"
"3,0      (L73.0) Acne keloid 82","0","2","2","0.0022727272727273","0"
"3,0      (L70.8) Other acne 83","1","1","2","0.0022727272727273","0"
"3,0      (M76.6) Achilles tendinitis 84","1","1","2","0.0022727272727273","0"
"3,0      (E78.6) Lipoprotein deficiency 85","1","1","2","0.0022727272727273","0"
"3,0      (M01.69) Arhritis in mycoses,
86       unspecified site","1","1","2","0.0022727272727273","0"
"3,0      (K08.0) Exfoliation of teeth due to
87       systemic causes","1","1","2","0.0022727272727273","0"
"3,0      (I72.9) Aneurysm of unspecified site 88","0","2","2","0.0022727272727273","0"
"3,0      (J93.1) Other spontaneous
89       pneumothorax","2","0","2","0.0022727272727273","0"
"3,0      (L66.1) Lichen planopilaris 90","1","1","2","0.0022727272727273","0"
"3,0      (I71.2) Thoracic aortic aneurysm, without
91       mention of rupture","2","0","2","0.0022727272727273","0"
"3,0      (K91.8) Other postprocedural disorders
92       of digestive system, not elsewhere","1","1","2","0.0022727272727273","0"
"3,0      (G43.2) Status migrainosus 93","0","2","2","0.0022727272727273","0"
"3,0      (K46.1) Unspecified abdominal hernia
94       with gangrene","2","0","2","0.0022727272727273","0"
"3,0      (D12.8) Benign neoplasm of rectum 95","0","2","2","0.0022727272727273","0"
"3,0      (E25.8) Other adrenogenital disorders 96","2","0","2","0.0022727272727273","0"
"3,0      (A15.5) Tuberculosis of larynx, trachea
97       and bronchus, confirmed","1","1","2","0.0022727272727273","0"
"3,0      (A01.3) Paratyphoid fever C 98","1","1","2","0.0022727272727273","0"
"3,0      (C75.9) Malignant neoplasm of
99       endocrine gland, unspecified","0","2","2","0.0022727272727273","0"
"3,1      (A63.8) Other specified predominantly 00       sexually transmitted diseases","1","1","2","0.0022727272727273","0"
"3,1      (H48.1) Retrobulbar neuritis in diseases 01       classified elsewhere","1","1","2","0.0022727272727273","0"
"3,1      (A98.5) Haemorrhagic fever with renal 02       syndrome","2","0","2","0.0022727272727273","0"
"3,1      (C54.2) Malignant neoplasm of 03       myometrium","0","2","2","0.0022727272727273","0"
"3,1      (D31.5) Benign neoplasm of lacrimal 04       gland and duct","0","2","2","0.0022727272727273","0"
"3,1      (D44.0) Neoplasm of uncertain or 05       unknown behavior of thyroid gland","0","2","2","0.0022727272727273","0"
"3,1      (Z72.1) Alcohol use 06","0","2","2","0.0022727272727273","0"
"3,1      (Z62.0) Inadequate parental supervision 07       and control","2","0","2","0.0022727272727273","0"
"3,1      (Z87.2) Personal history of diseases of 08       the skin and subcutaneous tissue","0","2","2","0.0022727272727273","0"
"3,1      (T63.4) Toxic effect of venom of other 09       arthropods","0","2","2","0.0022727272727273","0"
"3,1      (S62.40) Multiple fractures of metacarpal
10       bones , closed","0","2","2","0.0022727272727273","0"
"3,1      (T60.0) Toxic effect of organophosphate
11       and carbamate insecticides","0","2","2","0.0022727272727273","0"
"3,1      (T55) Toxic effect of soaps and
12       detergents","1","1","2","0.0022727272727273","0"
"3,1      (T19.2) Foreign body in vulva and
13       vagina","0","2","2","0.0022727272727273","0"
"3,1      (Q54.0) Hypospadias, balanic 14","2","0","2","0.0022727272727273","0"
"3,1      (Q11.1) Other anophthalmos 15","0","2","2","0.0022727272727273","0"
"3,1      (T14.81) Other injuries of unspecified
16       body region, open","1","1","2","0.0022727272727273","0"
"3,1      (S46.8) Injury of other muscles and
17       tendons at shoulder and upper arm level","2","0","2","0.0022727272727273","0"
"3,1      (S25.0) Injury of thoracic aorta 18","2","0","2","0.0022727272727273","0"
"3,1      (S22.0) Fracture of thoracic vertebra 19","2","0","2","0.0022727272727273","0"
"3,1      (N44) Torsion of testis 20","2","0","2","0.0022727272727273","0"
"3,1      (O03.0) Spontaneous abortion,
21       incomplete, complicated by genital tract","0","2","2","0.0022727272727273","0"
"3,1      (N30.1) Interstitial cystitis (chronic) 22","0","2","2","0.0022727272727273","0"
"3,1      (O06.1) Unspecified abortion,
23       incomplete, complicated by delayed or","0","2","2","0.0022727272727273","0"
"3,1      (N25.9) Disorder resulting from impaired
24       renal tubular function, unspecified","1","1","2","0.0022727272727273","0"
"3,1      (R23.4) Changes in skin texture 25","2","0","2","0.0022727272727273","0"
"3,1      (N80.2) Endometriosis of fallopian tube 26","0","2","2","0.0022727272727273","0"
"3,1      (O47.9) False labour, unspecified 27","0","2","2","0.0022727272727273","0"
"3,1      (N49.8) Inflammatory disorders of other
28       specified male genital organs","2","0","2","0.0022727272727273","0"
"3,1      (M79.82) Other specified soft tissue
29       disorders, upper arm","0","2","2","0.0022727272727273","0"
"3,1      (M79.91) Soft tissue disorder,
30       unspecified, shoulder region","0","2","2","0.0022727272727273","0"
"3,1      (O92.2) Other and unspecified disorders
31       of breast associated with childbirth","0","2","2","0.0022727272727273","0"
"3,1      (P24.9) Neonatal aspiration syndrome,
32       unspecified","2","0","2","0.0022727272727273","0"
"3,1      (M89.91) Disorder of bone, unspecified,
33       shoulder region","1","1","2","0.0022727272727273","0"
"3,1      (M45.9) Ankylosing spondylitis, site
34       unspecified","1","1","2","0.0022727272727273","0"
"3,1      (M07.11) Arthritis mutilans, shoulder
35       region","2","0","2","0.0022727272727273","0"
"3,1      (M65.84) Other synovitis and
36       tenosynovitis, hand","1","1","2","0.0022727272727273","0"
"3,1      (M79.42) Hypertrophy of (infrapatellar)
37       fat pad, upper arm","0","2","2","0.0022727272727273","0"
"3,1      (M16.1) Other primary coxarthrosis 38","0","2","2","0.0022727272727273","0"
"3,1      (M06.89) Other specified rheumatoid
39       arthritis, unspecified site","0","2","2","0.0022727272727273","0"
"3,1      (M48.06) Spinal stenosis, lumbar region 40","1","1","2","0.0022727272727273","0"
"3,1      (K03.6) Deposits [accretions] on teeth 41","2","0","2","0.0022727272727273","0"
"3,1      (K03.2) Erosion of teeth 42","1","1","2","0.0022727272727273","0"
"3,1      (K51.5) Mucosal proctocolitis 43","2","0","2","0.0022727272727273","0"
